[2022-11-07 13:01:46.106] [remoteagent] [info] Extension host agent started.
[2022-11-07 13:01:46.647] [remoteagent] [info] [127.0.0.1][f0bf3fdb][ManagementConnection] New connection established.
[2022-11-07 13:01:46.775] [remoteagent] [info] [127.0.0.1][64c77a2f][ExtensionHostConnection] New connection established.
[2022-11-07 13:01:46.791] [remoteagent] [info] [127.0.0.1][64c77a2f][ExtensionHostConnection] <28553> Launched Extension Host Process.
[2022-11-07 13:03:40.416] [remoteagent] [error] [File Watcher (parcel)] Unexpected error: std::bad_alloc (EUNKNOWN) (path: /home/nvidia)
[2022-11-07 13:03:40.417] [remoteagent] [error] [File Watcher (universal)] restarting watcher after error: std::bad_alloc
[2022-11-07 13:27:10.655] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:27:19.673] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:27:29.234] [remoteagent] [error] No ptyHost heartbeat after 12 seconds
[2022-11-07 13:28:51.539] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:29:51.714] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:31:56.088] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:33:01.493] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:33:30.756] [remoteagent] [error] No ptyHost heartbeat after 12 seconds
[2022-11-07 13:34:17.800] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:34:51.826] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:35:50.338] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:37:43.626] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:39:43.632] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:40:40.661] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:42:15.641] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:43:31.566] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:44:21.948] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-07 13:44:51.123] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
