[2022-11-11 11:02:11.760] [remoteagent] [info] Extension host agent started.
[2022-11-11 11:02:12.114] [remoteagent] [info] [127.0.0.1][0b0ae57f][ManagementConnection] New connection established.
[2022-11-11 11:02:12.273] [remoteagent] [info] [127.0.0.1][2e573a75][ExtensionHostConnection] New connection established.
[2022-11-11 11:02:12.309] [remoteagent] [info] [127.0.0.1][2e573a75][ExtensionHostConnection] <10483> Launched Extension Host Process.
[2022-11-11 12:15:37.983] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:15:46.322] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:17:13.499] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:17:51.835] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:18:53.419] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:19:39.151] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:19:59.222] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-11 12:20:19.914] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:01:06.753] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:01:33.260] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:02:16.998] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:02:36.595] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:02:38.207] [remoteagent] [info] [127.0.0.1][2e573a75][ExtensionHostConnection] The client has reconnected.
[2022-11-12 10:02:47.030] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:03:11.994] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:03:14.792] [remoteagent] [info] [127.0.0.1][2e573a75][ExtensionHostConnection] The client has reconnected.
[2022-11-12 10:03:42.901] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:03:56.801] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:04:27.021] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
[2022-11-12 10:04:38.056] [remoteagent] [warning] No ptyHost heartbeat after 6 seconds
